rule_id,tag_id
AS-1,dti.qualifying_income_monthly
AS-1,income.qualifying_monthly
AS-1,txn.amount
AS-1,txn.apparent_category
AS-1,txn.date
AS-1,txn.has_identified_source
AS-1,txn.is_money_in
AS-1,txn.source_reference
AS-10,stmt.period_end
AS-10,stmt.period_start
AS-10,txn.date
AS-12,txn.apparent_category
AS-12,txn.counterparty
AS-12,txn.is_money_in
AS-2,contract.emd_amount
AS-2,contract.emd_sourced
AS-2,txn.apparent_category
AS-2,txn.counterparty
AS-2,txn.has_identified_source
AS-2,txn.is_money_in
AS-3,dti.qualifying_income_monthly
AS-3,income.qualifying_monthly
AS-3,stmt.ending_balance
AS-3,txn.amount
AS-4,stmt.is_reserve_eligible
AS-5,txn.apparent_category
AS-5,txn.counterparty
AS-5,txn.has_identified_source
AS-5,txn.source_reference
AS-6,stmt.account_masked
AS-6,stmt.owner_matches_borrower
AS-7,txn.is_money_in
AS-7,txn.is_nsf_or_overdraft
AS-8,stmt.account_masked
AS-8,stmt.beginning_balance
AS-8,stmt.ending_balance
AS-8,txn.amount
AS-8,txn.date
AS-8,txn.is_money_in
AS-9,stmt.page_count_declared
AS-9,stmt.page_count_present
AU-1,aus.data_matches_docs
AU-2,aus.conditions
AU-3,aus.recommendation
AU-4,aus.rerun_needed
CL-1,contract.closing_date
CL-1,rate_lock.expiration
CO-1,condo.questionnaire_present
CO-1,property.type
CO-2,housing.hoa_monthly
CO-2,property.type
CO-3,property.is_warrantable_condo
CO-3,property.type
CO-4,property.type
CO-5,property.is_warrantable_condo
CO-5,property.type
CR-1,liab.account_type
CR-1,liab.in_application
CR-1,liab.monthly_payment
CR-1,txn.implies_obligation
CR-1,txn.is_recurring
CR-10,credit.collection_aggregate_balance
CR-10,credit.has_collections
CR-10,credit.largest_single_collection_balance
CR-10,program.type
CR-10,property.occupancy
CR-10,property.type
CR-11,liab.has_open_judgment_lien
CR-12,liab.is_disputed
CR-2,liab.account_type
CR-2,liab.balance
CR-2,liab.heloc_credit_limit
CR-3,liab.excluded_paid_off
CR-4,liab.in_application
CR-5,credit.inquiry_explained
CR-6,credit.derogatory_months_elapsed
CR-6,liab.derogatory_type
CR-6,liab.is_derogatory
CR-7,liab.representative_score
CR-8,liab.is_mortgage
CR-8,liab.mortgage_late_60_plus_last_12mo
CR-8,liab.payment_status
CR-8,liab.structured_history_confident
CR-9,liab.account_type
CR-9,liab.balance
CR-9,liab.dti_payment
DT-1,debt.counts_in_dti
DT-1,dti.qualifying_income_monthly
DT-1,housing.insurance_monthly
DT-1,housing.pi
DT-1,housing.taxes_monthly
DT-1,income.documented_monthly
DT-1,income.qualifying_monthly
DT-1,income.stated_monthly
DT-1,income.type
DT-1,liab.account_type
DT-1,liab.dti_payment
DT-1,liab.monthly_payment
DT-2,housing.hoa_monthly
DT-3,housing.mi_monthly
DT-4,housing.taxes_monthly
DT-5,housing.insurance_monthly
DT-5,ins.premium_annual
DT-6,property.is_retained_reo
DT-6,property.retained_pitia
DT-6,txn.amount
DT-7,dti.atr_factors_documented
FR-1,fraud.altered_appearance
FR-2,contract.arms_length
FR-2,title.rapid_transfer
FR-4,txn.implies_obligation
FR-5,txn.counterparty
FR-5,txn.implies_obligation
FR-5,txn.is_recurring
FR-6,fraud.novel_discrepancy
ID-1,id.name_normalized
ID-2,id.ssn_hash
ID-3,id.dob
ID-4,id.address_normalized
ID-4,id.current_address_type
ID-5,id.id_expiration
ID-6,id.app_required_fields_present
ID-8,id.citizenship
ID-9,id.poa_present_and_acceptable
IH-1,housing.insurance_monthly
IH-1,ins.dwelling_coverage
IH-2,ins.mortgagee_clause_correct
IH-3,ins.effective_date
IH-4,ins.premium_annual
IH-5,flood.in_sfha
IH-5,flood.zone
IH-6,flood.in_sfha
IH-6,flood.policy_adequate
IN-1,income.documented_monthly
IN-1,income.stated_monthly
IN-1,txn.apparent_category
IN-10,income.is_declining
IN-11,income.has_2yr_history
IN-11,income.type
IN-12,income.type
IN-13,income.continuance_3yr
IN-13,income.has_2yr_history
IN-13,income.type
IN-14,income.continuance_3yr
IN-2,income.pay_date
IN-3,income.documented_monthly
IN-3,income.ytd_gross
IN-4,income.employment_end
IN-4,income.employment_start
IN-5,income.employer_normalized
IN-6,income.employer_normalized
IN-7,income.employment_start
IN-7,income.same_line_of_work
LO-1,loe.present_and_complete
LO-1,loe.required_conditions
LO-2,loe.present_and_complete
MI-1,loan.ltv_percent
MI-1,program.type
MI-2,mi.factor
MI-3,mi.certificate_present
MI-3,mi.required
MI-4,mi.fha_ufmip_percent
MI-4,program.type
MI-5,mi.structure
OC-1,occupancy.consistent_with_signals
OC-1,occupancy.stated
OC-2,occupancy.consistent_with_signals
OC-2,occupancy.reasonable
PC-1,contract.arms_length
PC-1,title.parties_match
PC-2,contract.sales_price
PC-2,property.purchase_price
PC-4,contract.seller_credit
PC-5,contract.emd_amount
PC-5,contract.emd_sourced
PC-6,contract.addenda_signed
PC-7,contract.closing_date
PC-8,contract.personal_property
PC-9,contract.contingency_dates
PE-1,loan.amount
PE-1,program.conforming_limit
PE-1,program.type
PE-2,program.fha_case_number
PE-2,program.type
PE-3,program.fha_min_investment_met
PE-3,program.type
PE-4,program.type
PE-5,program.type
PR-1,liab.heloc_credit_limit
PR-1,loan.amount
PR-1,property.appraised_value
PR-1,property.purchase_price
PR-1,property.value_basis
PR-2,property.appraised_value
PR-2,property.purchase_price
PR-3,property.type
PR-4,property.appraisal_complete
PR-5,property.appraisal_condition
PR-6,property.appraisal_date
PR-7,id.address_normalized
PR-8,property.in_disaster_area
RE-1,property.is_retained_reo
RE-1,property.retained_pitia
RE-2,property.is_retained_reo
TI-1,title.vested_owner_matches
TI-2,title.legal_description
TI-2,title.property_address
TI-3,title.open_liens
TI-4,liab.has_open_judgment_lien
TI-4,title.open_liens
TI-5,title.vesting
TI-6,title.chain_has_gap
TI-6,title.chain_shortest_interval_days
TI-6,title.chain_transfer_count
